_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
6231,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,1,2,7,105,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PRINCESS MANAGEMENT,PRIVATE,4155928,NO,YES,NO,41  WARRENDER AVE ,YES,FREE,2,SINGLE PANE,1971,2017
6232,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities",YES,NO,45 indoor parking spots and 90 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,1,2,12,171,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,MINTO PROPERTIES INC.,PRIVATE,4152930,NO,YES,NO,66  OAKMOUNT RD ,YES,PAID,4,DOUBLE PANE,1986,2017
6233,NONE,,YES,YES,40 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0,0,3,20,331,NO,"Underground Garage , Garage accessible thru buildg",YES,VERTICA RESIDENT SERVICES,PRIVATE,4152935,NO,YES,NO,40  HIGH PARK AVE ,YES,UNAVAILABLE,4,DOUBLE PANE,1969,2017
6234,NONE,,NO,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0,0,2,6,86,NO,,YES,DEEP QUONGG COMMUNITY FUND INC,SOCIAL HOUSING,4153414,NO,NO,NO,2  MURRAY ST ,YES,UNAVAILABLE,11,SINGLE PANE,1961,2018
6235,NONE,,YES,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,17,1,3,32,YES,"Ground Level Garage , Surface Parking",YES,JB APARTMENT HOLDINGS,PRIVATE,4153939,NO,YES,NO,50  OXTON AVE ,NO,UNAVAILABLE,12,DOUBLE PANE,1955,2017
6236,NONE,,YES,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,0,4,33,NO,"Underground Garage , Garage accessible thru buildg",YES,DAVIS PROPERTY MANAGEMENT,PRIVATE,4153943,NO,YES,NO,697  EGLINTON AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1950,2018
6237,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,3,31,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153945,NO,YES,NO,725  EGLINTON AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1950,2017
6238,NONE,,NO,NO,6 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,7,0,3,17,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,IMTRADEX CORP,PRIVATE,4153946,NO,YES,NO,779  EGLINTON AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1930,2017
6239,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0,0,1,3,11,NO,"Carport , Surface Parking , Parking Deck",YES,PARALLEL PROPERTY MANAGEMENT,PRIVATE,4153950,NO,NO,NO,570  EGLINTON AVE W,YES,FREE,8,SINGLE PANE,1960,2017
6240,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,,0,18,1,5,25,YES,Ground Level Garage,NO,,PRIVATE,4153951,NO,YES,NO,564  EGLINTON AVE W,YES,,8,DOUBLE PANE,1957,2017
6241,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,1,6,60,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153952,NO,YES,NO,600  EGLINTON AVE W,YES,UNAVAILABLE,8,DOUBLE PANE,1968,2017
6242,NONE,,YES,NO,50 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,11,138,YES,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153954,NO,NO,NO,21  MAYFAIR AVE ,YES,FREE,8,DOUBLE PANE,1962,2017
6243,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0,11,0,3,11,NO,"Ground Level Garage , Surface Parking",YES,LINDAWACHTEL,PRIVATE,4154424,NO,YES,NO,2854  KEELE ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1955,2017
6244,NONE,,NO,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,13,0,3,12,YES,Surface Parking,YES,,PRIVATE,4154426,NO,YES,NO,2850  KEELE ST ,NO,FREE,6,DOUBLE PANE,1963,2017
6245,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,50,0,3,11,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154428,NO,YES,NO,2251  JANE ST ,NO,UNAVAILABLE,6,THERMAL,1965,2017
6246,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,20,159,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PSN PROPERTIES INC. ,PRIVATE,4154434,NO,YES,NO,195  EXBURY RD ,YES,FREE,6,DOUBLE PANE,1968,2017
6247,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,12,,,,,PRIVATE,4154437,,,,2994  KEELE ST ,,,6,DOUBLE PANE,,
6248,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,2,10,0,3,11,NO,"Ground Level Garage , Carport , Surface Parking",YES,DEVNETT COMPANY,PRIVATE,4154438,NO,YES,NO,2990  KEELE ST ,NO,FREE,6,DOUBLE PANE,1952,2018
6249,NONE,,YES,NO,3 indoor parking spots and 5 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,39,0,3,39,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154442,NO,YES,NO,3020  KEELE ST ,NO,FREE,6,SINGLE PANE,1959,2017
6250,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,40,NO,"Ground Level Garage , Surface Parking",YES,COGIR REAL ESTATE,PRIVATE,4154453,NO,YES,NO,18  SKIPTON CRT ,NO,UNAVAILABLE,6,DOUBLE PANE,1958,2017
6251,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2,10,2,11,258,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,Q REIT SUB LP,PRIVATE,4154456,NO,YES,NO,3390  KEELE ST ,NO,FREE,6,SINGLE PANE,1965,2017
6252,NONE,"Outdoor pool , Child play area",YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1,1,2,14,125,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154820,NO,NO,NO,335  VAN HORNE AVE ,YES,FREE,17,DOUBLE PANE,1969,2017
6253,NONE,,YES,NO,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,1,3,29,NO,"Ground Level Garage , Surface Parking",YES,SIGNET GROUP INC,PRIVATE,4154837,NO,YES,NO,71  TALARA DR ,NO,UNAVAILABLE,17,DOUBLE PANE,1959,2017
6254,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3,4,3,6,397,YES,Surface Parking,YES,,TCHC,4154848,NO,NO,NO,4000  DON MILLS RD ,YES,BOTH,17,DOUBLE PANE,1980,2017
6255,NONE,Child play area,YES,NO,0 indoor parking spots and 18 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,10,95,NO,"Carport , Surface Parking , Parking Deck",YES,FIELDGATE PROPERTIES,PRIVATE,4155364,NO,YES,NO,345  DIXON RD ,YES,FREE,2,DOUBLE PANE,1969,2017
6256,NONE,"Outdoor pool , Child play area",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0,2,2,16,181,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4155368,NO,YES,NO,265  DIXON RD ,YES,BOTH,2,THERMAL,1967,2017
6257,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,2,8,77,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155373,NO,NO,NO,340  THE EAST MALL  ,YES,FREE,2,DOUBLE PANE,1966,2017
6258,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,2,2,2,15,88,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155378,NO,NO,NO,4340  BLOOR ST W,YES,FREE,2,SINGLE PANE,1968,2017
6259,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,17,,,,,PRIVATE,4155380,,,,320  THE WEST MALL  ,,,2,SINGLE PANE,1970,
6260,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,62,1,5,49,YES,"Carport , Surface Parking",YES,PENWOTH HOLDINGS INC,PRIVATE,4155385,NO,YES,NO,351  THE WEST MALL  ,YES,FREE,2,DOUBLE PANE,1960,2017
6261,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,63,1,5,48,NO,"Carport , Surface Parking",YES,PENWORTH HOLDINGS INC,PRIVATE,4155386,NO,YES,NO,25  EVA RD ,YES,FREE,2,DOUBLE PANE,1960,2017
6262,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,73,YES,Surface Parking,YES,PINEDALE PROPERTIES LTD,PRIVATE,4156355,NO,YES,NO,9  BERGAMOT AVE ,YES,PAID,1,DOUBLE PANE,1960,2017
6263,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,10,93,NO,Underground Garage,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152967,NO,YES,NO,118  TYNDALL AVE ,YES,UNAVAILABLE,4,DOUBLE PANE,1965,2017
6264,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,27,NO,"Underground Garage , Ground Level Garage",NO,PROPERTY SERVICES INC.,PRIVATE,4152968,NO,YES,NO,112  TYNDALL AVE ,NO,UNAVAILABLE,4,SINGLE PANE,1960,2017
6265,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,9,69,NO,"Underground Garage , Ground Level Garage",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152973,NO,YES,NO,60  TYNDALL AVE ,YES,FREE,4,DOUBLE PANE,1959,2017
6266,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,54,2,7,118,NO,"Underground Garage , Garage accessible thru buildg",YES,JAMESON AVE RENTAL INC,PRIVATE,4152983,NO,YES,NO,109  JAMESON AVE ,YES,PAID,4,SINGLE PANE,1968,2017
6267,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,0,0,4,23,NO,Ground Level Garage,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152988,NO,YES,NO,140  JAMESON AVE ,YES,FREE,4,SINGLE PANE,1955,2017
6268,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,7,90,,,,,PRIVATE,4152990,,,,120  JAMESON AVE ,,,4,DOUBLE PANE,1960,
6269,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,2,10,80,NO,"Underground Garage , Surface Parking",YES,OZ PROPERTY MANAGEMENT LTD,PRIVATE,4152992,NO,YES,NO,100  JAMESON AVE ,YES,UNAVAILABLE,4,DOUBLE PANE,1960,2018
6270,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,2,6,72,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC,PRIVATE,4152993,NO,YES,NO,96  JAMESON AVE ,YES,FREE,4,SINGLE PANE,1977,2017
6271,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,2,7,61,NO,Underground Garage,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152994,NO,YES,NO,90  JAMESON AVE ,YES,UNAVAILABLE,4,DOUBLE PANE,1959,2017
6272,INDIVIDUAL UNITS,,NO,YES,20 indoor parking spots and 12 outdoor parking spots,NO,Unknown,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,0,6,2,11,102,NO,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,RAINBOW MANAGEMENT INC,PRIVATE,4153445,NO,NO,NO,100  PEMBROKE ST ,YES,FREE,13,DOUBLE PANE,1973,2017
6273,INDIVIDUAL UNITS,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,11,YES,"Ground Level Garage , Carport , Surface Parking",YES,AYKLER & CO REALTY,PRIVATE,4153446,NO,YES,NO,80-82  PEMBROKE ST ,NO,UNAVAILABLE,13,SINGLE PANE,1920,2017
6274,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",NO,YES,9 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,20,2,9,42,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,MYRMEX NON-PROFIT HOUSING,SOCIAL HOUSING,4153455,NO,NO,NO,177  MUTUAL ST ,YES,FREE,13,THERMAL,1991,2018
6275,NONE,,YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,2,7,87,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,HOLLYBURN PROPERTIES LTD.,PRIVATE,4153961,NO,YES,NO,780  EGLINTON AVE W,YES,UNAVAILABLE,8,DOUBLE PANE,1952,2017
6276,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,5,1,4,57,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4153962,NO,NO,NO,790  EGLINTON AVE W,YES,BOTH,8,DOUBLE PANE,1941,2017
6277,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,1,4,36,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4153963,NO,NO,NO,800  EGLINTON AVE W,YES,UNAVAILABLE,8,SINGLE PANE,1941,2017
6278,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,1,4,40,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4153964,NO,NO,NO,840  EGLINTON AVE W,YES,UNAVAILABLE,8,SINGLE PANE,1941,2017
6279,NONE,Outdoor pool,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,18,229,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,KING'S COLLEGE MANAGEMENT LTD.,PRIVATE,4153969,NO,YES,NO,140  ELM RIDGE DR ,NO,PAID,8,DOUBLE PANE,1967,2017
6280,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,18,YES,,NO,1675959 ONTARIO LIMITED,PRIVATE,4153990,NO,YES,NO,119  EGLINTON AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1950,2017
6281,INDIVIDUAL UNITS,"Indoor recreation room , Child play area",YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,3,3,1,5,59,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4154467,NO,NO,NO,3470  KEELE ST ,YES,FREE,7,DOUBLE PANE,1994,2017
6282,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,4,22,370,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4154473,NO,NO,NO,470  SENTINEL RD ,YES,FREE,7,DOUBLE PANE,1970,2017
6283,NONE,"Indoor pool , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1,0,3,18,287,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4154496,NO,YES,NO,3000  DUFFERIN ST ,YES,FREE,8,SINGLE PANE,1968,2017
6284,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,44,1,7,47,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154499,NO,YES,NO,3690  BATHURST ST ,YES,UNAVAILABLE,8,DOUBLE PANE,1964,2017
6285,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,1,3,34,NO,"Ground Level Garage , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD,PRIVATE,4154503,NO,YES,NO,61  NEPTUNE DR ,NO,UNAVAILABLE,8,DOUBLE PANE,1959,2017
6286,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,0,2,9,117,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,OXFORD PROPERTIES GROUP,PRIVATE,4154853,NO,YES,NO,1790  EGLINTON AVE E,YES,FREE,16,DOUBLE PANE,1982,2017
6287,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,59,61,1,4,59,NO,"Ground Level Garage , Surface Parking",YES,ROYAL LEPAGE SIGNATURE REALTY,PRIVATE,4154860,NO,YES,NO,20  TINDER CRES ,YES,FREE,16,DOUBLE PANE,1960,2017
6288,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,20,0,3,20,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154877,NO,YES,NO,10  ELVASTON DR ,NO,UNAVAILABLE,16,DOUBLE PANE,1959,2017
6289,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,NO,YES,NO,0,1,2,10,83,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154883,NO,YES,NO,1780  VICTORIA PARK AVE ,YES,FREE,16,DOUBLE PANE,1979,2017
6290,NONE,"Indoor recreation room , Indoor exercise room , Child play area",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,3,14,251,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154884,NO,YES,NO,1441  LAWRENCE AVE E,YES,PAID,16,DOUBLE PANE,1961,2017
6291,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,9,56,1,4,69,NO,Surface Parking,NO,LINWOOD MANAGEMENT CORPORATION,PRIVATE,4154887,NO,YES,NO,48  ECCLESTON DR ,NO,FREE,16,DOUBLE PANE,1960,2017
6292,NONE,"Outdoor rec facilities , Child play area",YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,60,YES,"Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,AKELIUS CANADA LTD,PRIVATE,4154889,NO,YES,NO,56  ECCLESTON DR ,YES,UNAVAILABLE,16,DOUBLE PANE,1958,2017
6293,NONE,,NO,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,YES,YES,YES,0,1,2,7,80,NO,"Carport , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155397,NO,NO,NO,440  RATHBURN RD ,NO,FREE,2,DOUBLE PANE,1952,2018
6294,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities",NO,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0,4,2,8,128,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4155405,NO,NO,NO,1540  KIPLING AVE ,YES,FREE,2,DOUBLE PANE,1992,2017
6295,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,82,2,7,82,YES,"Underground Garage , Ground Level Garage , Surface Parking",NO,1249895 ONTARIO LTD,PRIVATE,4155419,NO,YES,NO,6  AUBURNDALE CRT ,YES,FREE,1,DOUBLE PANE,1964,2017
6296,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,67,1,6,53,YES,"Carport , Surface Parking",NO,,PRIVATE,4155422,NO,NO,NO,75  IRWIN RD ,YES,FREE,1,DOUBLE PANE,1955,2017
6297,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3,3,2,7,221,YES,Surface Parking,YES,TCH,TCHC,4155782,NO,NO,NO,101  KENDLETON DR ,YES,PAID,1,DOUBLE PANE,1965,2017
6298,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,0,0,3,11,NO,Surface Parking,YES,1679676 ONTARIO INC.,PRIVATE,4155806,NO,NO,NO,1641  KINGSTON RD ,NO,UNAVAILABLE,20,DOUBLE PANE,1950,2017
6299,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,NO,YES,NO,0,2,1,3,28,NO,"Ground Level Garage , Surface Parking",YES,,SOCIAL HOUSING,4155977,NO,NO,NO,37  DURNFORD RD ,YES,FREE,25,DOUBLE PANE,1992,2018
6300,INDIVIDUAL UNITS,"Outdoor pool , Outdoor rec facilities",YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0,0,0,3,180,NO,Surface Parking,YES,MORGUARD RESIDENTIAL,PRIVATE,4155978,NO,YES,NO,47  GENERATION BLVD ,YES,BOTH,25,DOUBLE PANE,1975,2017
6301,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,2,3,2,4,102,YES,"Underground Garage , Garage accessible thru buildg",YES,TCH,TCHC,4156374,NO,NO,NO,257  SHERBOURNE ST ,YES,PAID,13,DOUBLE PANE,1975,2017
6302,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,4,4,3,10,155,YES,"Underground Garage , Garage accessible thru buildg",YES,TCH,TCHC,4156706,NO,NO,NO,230  SACKVILLE ST ,YES,PAID,13,DOUBLE PANE,2013,2017
6303,CENTRAL AIR,,YES,YES,100 indoor parking spots and 40 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,179,54,2,8,179,NO,"Underground Garage , Garage accessible thru buildg",YES,KILLAM APARTMENT REIT,PRIVATE,4156711,NO,NO,NO,100  LOWER OSSINGTON AVE ,YES,PAID,10,DOUBLE PANE,2013,2017
6304,CENTRAL AIR,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2,4,2,9,184,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MEDALLION CORPORATION,PRIVATE,4156723,NO,YES,NO,5  HARDING AVE ,YES,FREE,5,DOUBLE PANE,2008,2017
6305,CENTRAL AIR,,NO,YES,0 indoor parking spots and 56 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,6,1,2,6,98,YES,Surface Parking,NO,,SOCIAL HOUSING,4156725,NO,NO,NO,160  JARVIS ST ,YES,UNAVAILABLE,13,DOUBLE PANE,2009,2017
6306,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,3,18,NO,Ground Level Garage,NO,PERGOS DEVELOPMENTS,PRIVATE,4153001,NO,NO,NO,120  DOWLING AVE ,YES,UNAVAILABLE,4,DOUBLE PANE,1900,2017
6307,NONE,,NO,NO,0 indoor parking spots and 1 outdoor parking spots,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0,10,0,3,41,NO,"Ground Level Garage , Surface Parking",NO,PERGOS DEVELOPMENTS,PRIVATE,4153005,NO,YES,NO,1609  QUEEN ST W,YES,UNAVAILABLE,4,DOUBLE PANE,1900,2017
